"","spp","sex","SV_length","weight"
"676","UTST","F",45,3
"677","UTST","M",37,2
"678","UTST","M",48,5
"679","UTST","F",38,2
"680","UTST","F",44,3
"681","UTST","M",37,2
"682","UTST","F",45,3
"683","UTST","F",50,5
"684","UTST","F",45,5
"685","UTST","M",40,3
"686","UTST","F",42,3
"687","UTST","F",48,5
"688","UTST","F",40,3
"689","UTST","M",38,2
"690","UTST","F",33,2
"691","UTST","M",37,2
"692","UTST","F",39,2
"693","UTST","F",40,4
"694","SCUN","F",41,4
"695","UTST","M",40,3
"696","UTST","M",51,5
"697","UTST","M",52,5
"698","HOMA","F",35,2
"699","UTST","M",48,4
"700","UTST","F",45,3
"701","CNIN","M",45,3
"702","UTST","M",47,5
"703","SCUN","M",43,3
"704","CNIN","M",47,3
"705","HOMA","F",55,5
"706","CNTI","M",60,9
"707","PHCO","F",57,10
"708","UTST","M",55,5
"709","SCUN","F",48,3
"710","UTST","F",47,3
"711","CNIN","F",54,4
"712","UTST","F",45,2
"713","UTST","M",50,4
"714","UTST","F",41,2
"715","CNIN","F",36,1
"716","CNTE","F",73,22
"717","UTST","M",70,2
"718","UTST","M",37,1
"719","UTST","M",35,1
"720","UTST","F",40,1
"721","UTST","F",45,2
"722","UTST","F",40,2
"723","UTST","M",48,5
"724","UTST","M",50,4
"725","UTST","F",43,4
"726","UTST","F",36,1
"727","UTST","M",43,4
"728","UTST","F",33,2
"729","UTST","F",28,1
"730","UTST","M",48,3
"731","UTST","F",36,2
"732","UTST","F",40,2
"733","UTST","F",30,1
"734","UTST","M",53,4
"735","UTST","F",47,2
"736","UTST","F",48,4
"737","UTST","F",41,3
"738","UTST","M",48,4
"739","UTST","F",45,4
"740","UTST","M",41,4
"741","SCUN","M",58,7
"742","CNIN","M",45,2
"743","UTST","M",48,5
"744","UTST","F",45,3
"745","UTST","M",46,5
"746","UTST","F",38,2
"747","UTST","F",47,4
"748","UTST","M",35,3
"749","UTST","M",53,6
"750","HOMA","F",40,2
"751","CNIN","M",42,2
"752","CNIN","M",45,3
"753","SCUN","M",35,2
"754","UTST","F",43,3
"755","UTST","F",32,1
"756","UTST","M",52,5
"757","UTST","F",47,3
"758","HOMA","F",60,7
"759","CNIN","F",42,3
"760","PHCO","F",97,61
"761","CNIN","M",45,5
"762","HOMA","M",50,5
"763","CNIN","M",43,3
"764","CNNE","F",72,8
"765","UTST","F",50,4
"766","CNTI","M",58,5
"767","HOMA","F",54,4
"768","CNTI","M",80,14
"769","HOMA","M",56,6
"770","CNTE","F",72,14
"771","CNUN","F",62,6
"772","UTST","M",35,1
"773","SCUN","M",35,2
"774","UTST","M",37,2
"775","UTST","M",39,2
"776","UTST","F",40,2
"777","UTST","F",32,1
"778","UTST","F",45,1
"779","UTST","M",36,1
"780","UTST","M",22,1
"781","CNNE","F",37,1
"782","UTST","F",33,1
"783","UTST","M",21,1
"784","UTST","F",25,1
"785","UTST","M",35,1
"786","UTST","M",34,1
"787","EUOB","F",102,20
"788","UTST","F",40,1
"789","UTST","M",35,1
"790","UTST","M",37,1
"791","CNTE","F",85,18
"792","UTST","M",35,1
"793","UTST","M",33,1
"794","CNIN","M",32,1
"795","UTST","F",34,1
"796","UTST","F",45,3
"797","UTST","F",30,1
"798","UTST","F",40,2
"799","UTST","F",43,2
"800","UTST","M",45,3
"801","UTST","M",50,4
"802","UTST","M",52,4
"803","UTST","F",40,3
"804","UTST","M",38,2
"805","UTST","F",43,2
"806","UTST","F",44,3
"807","UTST","M",45,4
"808","UTST","F",48,4
"809","UTST","F",42,2
"810","SCUN","M",34,2
"811","UTST","M",36,2
"812","UTST","F",41,3
"813","UTST","F",35,2
"814","UTST","M",39,2
"815","UTST","M",50,5
"816","UTST","M",46,5
"817","UTST","F",45,3
"818","UTST","M",45,3
"819","UTST","M",57,5
"820","UTST","M",42,2
"821","UTST","M",37,2
"822","UTST","F",42,2
"823","UTST","F",42,3
"824","UTST","M",48,2
"825","UTST","M",32,2
"826","UTST","F",40,3
"827","UTST","F",27,1
"828","UTST","M",44,2
"829","UTST","M",32,1
"830","UTST","F",46,3
"831","UTST","F",46,4
"832","UTST","M",47,4
"833","UTST","F",35,2
"834","UTST","M",49,4
"835","UTST","M",45,4
"836","UTST","M",49,5
"837","HOMA","M",31,1
"838","UTST","F",35,2
"839","UTST","M",44,4
"840","UTST","F",45,2
"841","UTST","M",52,5
"842","UTST","F",44,3
"843","UTST","F",50,2
"844","UTST","F",33,1
"845","UTST","M",40,3
"846","CNIN","M",50,3
"847","CNTE","F",92,28
"848","CNIN","M",54,3
"849","CNIN","M",53,4
"850","HOMA","M",50,3
"851","CNIN","M",40,4
"852","CNIN","M",42,4
"853","PHCO","F",81,30
"854","UTST","F",47,5
"855","PHMO","M",48,8
"856","UTST","F",46,5
"857","PHMO","M",52,10
"858","PHMO","F",45,5
"859","PHMO","F",40,4
"860","PHMO","F",46,5
"861","CNIN","F",56,6
"862","CNIN","F",54,4
"863","HOMA","F",59,8
"864","CNTE","F",65,8
"865","CNIN","F",50,3
"866","UTST","F",45,3
"867","CNIN","F",45,2
"868","CNIN","F",43,2
"869","UTST","F",45,2
"870","PHMO","F",55,9
"871","CNIN","F",49,2
"872","CNNE","F",38,1
"873","CNIN","F",51,2
"874","CNIN","F",57,4
"875","HOMA","F",53,3
"876","CNIN","F",55,4
"877","UTST","M",50,3
"878","CNIN","F",60,4
"879","CNNE","F",36,1
"880","CNNE","F",37,1
"881","UTST","F",42,2
"882","UTST","M",48,3
"883","UTST","F",43,3
"884","UTST","M",51,5
"885","UTST","M",42,3
"886","UTST","M",38,2
"887","UTST","F",40,3
"888","UTST","F",38,2
"889","UTST","M",42,3
"890","UTST","M",45,3
"891","UTST","M",38,2
"892","UTST","F",40,3
"893","UTST","F",36,3
"894","UTST","M",33,3
"895","UTST","M",36,2
"896","UTST","M",40,2
"897","UTST","M",39,4
"898","UTST","F",45,3
"899","UTST","M",43,4
"900","UTST","F",39,2
"901","UTST","F",37,2
"902","UTST","F",38,2
"903","UTST","F",37,4
"904","UTST","F",39,4
"905","UTST","M",46,6
"906","UTST","F",45,5
"907","UTST","F",36,2
"908","SCUN","F",38,3
"909","UTST","F",34,2
"910","UTST","F",37,3
"911","UTST","F",50,6
"912","UTST","F",43,4
"913","UTST","F",43,3
"914","UTST","F",42,3
"915","UTST","M",44,4
"916","UTST","F",40,3
"917","CNIN","F",38,2
"918","UTST","M",44,4
"919","UTST","M",46,4
"920","UTST","F",38,3
"921","UTST","M",46,5
"922","UTST","M",50,4
"923","COTE","M",36,2
"924","UTST","F",47,4
"925","CNUN","F",39,2
"926","CNIN","F",49,2
"927","HOMA","M",37,2
"928","CNIN","F",37,2
"929","CNIN","M",57,5
"930","UTST","F",43,3
"931","UTST","M",45,4
"932","UTST","M",46,3
"933","UTST","M",51,4
"934","CNIN","F",57,5
"935","UTST","F",46,3
"936","SCUN","F",53,5
"937","CNIN","F",49,4
"938","UTST","F",51,4
"939","UTST","F",52,4
"940","CNTI","M",65,9
"941","CNIN","F",52,4
"942","CNIN","F",57,4
"943","CNIN","M",56,4
"944","CNIN","F",61,3
"945","CNTI","M",69,10
"946","CNIN","M",51,4
"947","CNIN","M",57,4
"948","UTST","F",47,3
"949","UTST","F",42,2
"950","UTST","F",47,4
"951","PHCO","F",75,25
"952","CNTI","M",76,14
"953","CNIN","F",52,3
"954","PHMO","M",51,9
"955","PHMO","F",57,8
"956","SCUN","M",60,8
"957","SCUN","M",63,9
"958","SCUN","F",65,10
"959","UTST","F",49,4
"960","SCUN","F",61,9
"961","UTST","M",37,1
"962","UTST","F",34,1
"963","UTST","M",30,1
"964","UTST","F",28,1
"965","UTST","F",27,1
"966","UTST","M",26,1
"967","UTST","M",32,1
"968","UTST","M",25,1
"969","UTST","M",33,1
"970","UTST","M",31,1
"971","UTST","F",28,1
"972","UTST","F",48,4
"973","UTST","M",30,1
"974","UTST","M",35,1
"975","UTST","M",36,1
"976","UTST","F",32,1
"977","UTST","M",31,1
"978","UTST","M",27,1
"979","UTST","F",29,1
"980","UTST","M",22,1
"981","UTST","F",27,1
"982","UTST","M",29,1
"983","UTST","M",38,2
"984","UTST","M",38,1
"985","UTST","F",29,1
"986","UTST","M",30,1
"987","CNIN","F",56,5
"988","UTST","M",29,1
"989","UTST","F",27,1
"990","COTE","M",31,1
"991","UTST","M",24,1
"992","UTST","M",32,1
"993","UTST","F",22,1
"994","UTST","M",25,1
"995","CNNE","F",37,1
"996","UTST","M",35,1
"997","UTST","M",48,2
"998","UTST","M",33,1
"999","SCUN","F",24,1
"1000","UTST","F",29,1
"1001","UTST","F",34,1
"1002","UTST","M",35,1
"1003","UTST","F",28,1
"1004","UTST","M",51,5
"1005","UTST","M",38,2
"1006","UTST","F",44,3
"1007","UTST","F",42,3
"1008","UTST","M",34,1
"1009","UTST","M",49,4
"1010","UTST","M",46,4
"1011","UTST","M",43,3
"1012","UTST","M",48,4
"1013","UTST","F",41,2
"1014","UTST","M",37,2
"1015","UTST","M",44,3
"1016","UTST","M",34,2
"1017","UTST","M",49,4
"1018","UTST","M",41,3
"1019","UTST","M",47,4
"1020","UTST","M",48,4
"1021","UTST","M",36,2
"1022","UTST","F",37,2
"1023","UTST","M",44,3
"1024","UTST","F",44,3
"1025","UTST","M",49,5
"1026","UTST","M",49,3
"1027","UTST","F",46,4
"1028","UTST","F",43,3
"1029","UTST","F",38,2
"1030","UTST","M",41,3
"1031","COTE","M",33,1
"1032","UTST","M",48,4
"1033","UTST","M",46,4
"1034","UTST","F",34,2
"1035","UTST","M",37,2
"1036","UTST","F",40,3
"1037","UTST","M",28,2
"1038","UTST","F",43,4
"1039","UTST","M",49,5
"1040","UTST","F",43,3
"1041","UTST","F",37,2
"1042","UTST","F",29,1
"1043","UTST","M",25,1
"1044","UTST","M",34,1
"1045","UTST","F",46,4
"1046","UTST","F",32,1
"1047","CNUN","F",37,1
"1048","UTST","F",53,4
"1049","UTST","M",53,6
"1050","UTST","F",38,2
"1051","UTST","M",48,3
"1052","UTST","M",48,4
"1053","UTST","F",42,2
"1054","UTST","M",44,3
"1055","COTE","F",37,1
"1056","UTST","M",48,5
"1057","UTST","F",42,3
"1058","UTST","F",46,3
"1059","UTST","M",53,4
"1060","UTST","M",52,6
"1061","UTST","F",47,4
"1062","UTST","F",47,4
"1063","UTST","F",44,3
"1064","UTST","F",43,3
"1065","UTST","F",44,3
"1066","UTST","F",43,3
"1067","CNIN","F",33,1
"1068","UTST","M",48,4
"1069","UTST","F",42,2
"1070","UTST","M",44,3
"1071","UTST","F",38,2
"1072","UTST","M",52,5
"1073","CNIN","F",50,4
"1074","CNIN","F",50,3
"1075","CNIN","F",53,4
"1076","CNIN","M",52,3
"1077","CNIN","F",52,4
"1078","CNNE","F",60,6
"1079","CNUN","F",55,4
"1080","UTST","F",43,2
"1081","SCUN","M",46,3
"1082","UTST","F",41,2
"1083","CNIN","M",51,3
"1084","CNIN","M",56,4
"1085","UTST","F",44,3
"1086","CNIN","M",55,4
"1087","CNIN","F",49,2
"1088","UTST","F",44,3
"1089","UTST","F",43,2
"1090","UTST","M",27,1
"1091","CNIN","F",58,4
"1092","CNIN","F",57,4
"1093","UTST","F",44,1
"1094","UTST","M",29,1
"1095","UTST","F",30,1
"1096","SCUN","M",23,1
"1097","SCUN","M",26,1
"1098","SCUN","F",57,7
"1099","UTST","M",35,2
"1100","UTST","M",22,1
"1101","UTST","F",23,1
"1102","UTST","M",36,1
"1103","UTST","M",34,1
"1104","UTST","M",21,1
"1105","CNIN","F",53,6
"1106","UTST","M",35,1
"1107","CNUN","F",33,1
"1108","UTST","M",22,1
"1109","UTST","M",51,5
"1110","UTST","F",42,3
"1111","UTST","M",54,6
"1112","UTST","F",32,1
"1113","UTST","M",40,2
"1114","UTST","M",42,3
"1115","UTST","F",39,2
"1116","UTST","M",45,4
"1117","UTST","M",46,4
"1118","UTST","F",36,1
"1119","UTST","M",51,1
"1120","UTST","M",49,5
"1121","UTST","M",44,3
"1122","UTST","M",46,4
"1123","UTST","F",38,1
"1124","SCUN","F",33,1
"1125","UTST","F",40,1
"1126","UTST","M",41,2
"1127","UTST","F",36,1
"1128","UTST","M",51,4
"1129","UTST","F",41,2
"1130","UTST","F",43,2
"1131","UTST","M",46,3
"1132","UTST","F",39,1
"1133","UTST","F",49,4
"1134","UTST","M",38,2
"1135","UTST","F",35,1
"1136","UTST","F",46,4
"1137","UTST","M",47,4
"1138","UTST","M",45,3
"1139","UTST","F",47,4
"1140","UTST","F",38,1
"1141","UTST","M",53,6
"1142","UTST","M",43,3
"1143","UTST","M",42,3
"1144","UTST","F",37,2
"1145","UTST","M",37,2
"1146","UTST","F",40,3
"1147","UTST","F",47,4
"1148","UTST","M",40,2
"1149","UTST","M",49,4
"1150","UTST","M",34,1
"1151","UTST","F",31,1
"1152","UTST","M",30,1
"1153","UTST","F",38,2
"1154","UTST","M",49,4
"1155","UTST","M",47,3
"1156","UTST","M",53,5
"1157","COTE","M",33,1
"1158","UTST","M",49,4
"1159","UTST","M",48,4
"1160","UTST","M",49,4
"1161","UTST","M",50,5
"1162","UTST","M",40,3
"1163","UTST","F",38,2
"1164","UTST","M",51,5
"1165","UTST","M",46,3
"1166","UTST","F",50,5
"1167","COTE","M",41,3
"1168","UTST","F",45,4
"1169","UTST","F",48,4
"1170","COTE","M",36,2
"1171","UTST","M",51,4
"1172","UTST","M",50,5
"1173","UTST","M",49,4
"1174","CNTE","F",145,2
"1175","UTST","F",47,4
"1176","CNIN","M",45,2
"1177","CNIN","M",53,4
"1178","UTST","F",45,4
"1179","UTST","M",48,4
"1180","COTE","M",64,7
"1181","CNTI","F",98,28
"1182","CNIN","M",52,3
"1183","CNIN","M",60,5
"1184","CNIN","M",50,4
"1185","CNIN","F",52,4
"1186","CNIN","F",53,4
"1187","CNIN","M",52,3
"1188","CNIN","F",52,4
"1189","CNIN","F",53,5
"1190","UTST","F",46,5
"1191","UTST","F",43,3
"1192","CNIN","M",52,5
"1193","UTST","M",48,6
"1194","CNIN","M",56,6
"1195","CNIN","M",55,5
"1196","CNIN","F",49,3
"1197","CNIN","M",53,4
"1198","UTST","F",46,4
"1199","UTST","M",49,4
"1200","UTST","M",50,4
"1201","CNUN","F",56,4
"1202","UTST","F",46,4
"1203","CNIN","M",51,3
"1204","CNUN","F",53,4
"1205","CNIN","M",54,4
"1206","UTST","M",49,4
"1207","CNIN","F",64,5
"1208","CNIN","M",51,4
"1209","CNIN","M",56,5
"1210","CNTI","F",68,9
"1211","HOMA","M",53,4
"1212","UTST","F",48,4
"1213","UTST","F",45,3
"1214","COTE","F",38,2
"1215","UTST","M",31,1
"1216","UTST","F",32,1
"1217","UTST","F",28,1
"1218","UTST","M",35,2
"1219","UTST","M",31,1
"1220","UTST","M",36,1
"1221","UTST","F",33,1
"1222","UTST","M",37,2
"1223","UTST","F",32,1
"1224","UTST","F",31,1
"1225","UTST","M",36,2
"1226","UTST","M",36,1
"1227","UTST","M",37,2
"1228","COTE","F",32,1
"1229","UTST","F",36,1
"1230","SCUN","M",27,1
"1231","CNNE","F",35,1
"1232","UTST","M",31,1
"1233","UTST","F",25,1
"1234","UTST","M",37,1
"1235","UTST","M",27,1
"1236","UTST","M",32,1
"1237","CNIN","F",53,4
"1238","UTST","M",35,1
"1239","COTE","F",29,1
"1240","COTE","F",37,2
"1241","UTST","F",35,1
"1242","UTST","M",22,1
"1243","UTST","M",39,2
"1244","UTST","F",34,1
"1245","UTST","F",47,3
"1246","COTE","M",38,2
"1247","UTST","F",27,1
"1248","UTST","F",23,1
"1249","UTST","M",35,2
"1250","UTST","F",36,1
"1251","UTST","M",47,4
"1252","UTST","F",46,4
"1253","UTST","M",51,4
"1254","UTST","F",43,2
"1255","UTST","F",44,3
"1256","UTST","F",42,2
"1257","UTST","F",41,3
"1258","UTST","F",46,4
"1259","UTST","F",37,2
"1260","UTST","F",37,2
"1261","UTST","M",35,2
"1262","UTST","M",46,4
"1263","UTST","M",47,4
"1264","UTST","M",53,6
"1265","UTST","F",48,4
"1266","UTST","M",39,3
"1267","UTST","M",46,5
"1268","UTST","F",30,1
"1269","UTST","F",43,3
"1270","SCUN","M",34,1
"1271","UTST","M",49,4
"1272","UTST","F",42,2
"1273","UTST","F",37,2
"1274","UTST","F",37,2
"1275","UTST","M",50,5
"1276","UTST","F",37,1
"1277","UTST","F",43,3
"1278","UTST","M",52,4
"1279","UTST","M",39,2
"1280","UTST","F",48,4
"1281","UTST","M",50,5
"1282","UTST","M",53,4
"1283","UTST","F",39,2
"1284","UTST","F",43,2
"1285","UTST","M",48,4
"1286","UTST","M",51,5
"1287","UTST","M",49,4
"1288","UTST","M",36,1
"1289","UTST","F",41,2
"1290","UTST","F",43,3
"1291","UTST","F",43,3
"1292","UTST","M",47,4
"1293","UTST","F",48,4
"1294","UTST","M",51,5
"1295","UTST","F",47,4
"1296","UTST","M",50,5
"1297","CNIN","F",43,2
"1298","UTST","F",44,3
"1299","UTST","F",41,2
"1300","UTST","M",49,4
"1301","UTST","M",51,5
"1302","CNIN","F",47,3
"1303","CNIN","F",53,3
"1304","HOMA","M",55,5
"1305","UTST","F",50,5
"1306","HOMA","F",51,3
"1307","CNUN","F",47,3
"1308","CNIN","F",51,3
"1309","CNUN","F",50,2
"1310","CNUN","F",53,3
"1311","UTST","F",44,2
"1312","UTST","M",43,3
"1313","CNTI","F",89,20
"1314","CNUN","F",51,3
"1315","CNIN","F",45,2
"1316","UTST","M",30,1
"1317","UTST","F",29,1
"1318","UTST","F",27,1
"1319","UTST","M",24,1
"1320","HOMA","F",54,5
"1321","CNIN","F",59,5
"1322","CNIN","F",57,3
"1323","UTST","M",30,1
"1324","UTST","M",29,1
"1325","UTST","M",25,1
"1326","UTST","F",36,1
"1327","UTST","M",27,1
"1328","UTST","M",26,1
"1329","UTST","M",35,1
"1330","UTST","F",25,1
"1331","UTST","M",28,1
"1332","UTST","F",26,1
"1333","CNTI","F",62,7
"1334","UTST","F",27,1
"1335","UTST","F",55,6
"1336","UTST","F",47,3
"1337","CNIN","F",51,4
"1338","UTST","F",36,1
