"","spp","sex","SV_length","weight"
"1339","UTST","F",27,1
"1340","UTST","F",21,1
"1341","CNIN","F",55,3
"1342","CNIN","F",53,3
"1343","UTST","M",27,1
"1344","UTST","F",31,1
"1345","UTST","F",31,1
"1346","UTST","F",44,2
"1347","UTST","M",27,1
"1348","UTST","F",27,1
"1349","UTST","M",29,1
"1350","UTST","F",39,2
"1351","UTST","M",37,2
"1352","UTST","F",46,4
"1353","UTST","F",33,2
"1354","UTST","F",39,1
"1355","UTST","M",47,4
"1356","UTST","F",34,1
"1357","UTST","F",38,2
"1358","UTST","M",29,1
"1359","UTST","F",39,2
"1360","UTST","M",41,3
"1361","UTST","F",33,1
"1362","UTST","F",46,3
"1363","UTST","M",36,1
"1364","UTST","M",51,5
"1365","UTST","F",39,2
"1366","UTST","F",33,1
"1367","UTST","M",51,5
"1368","UTST","M",43,3
"1369","UTST","M",50,4
"1370","UTST","F",35,1
"1371","UTST","M",52,5
"1372","UTST","F",43,1
"1373","UTST","F",41,2
"1374","UTST","F",46,1
"1375","UTST","F",49,4
"1376","UTST","F",44,3
"1377","UTST","F",37,2
"1378","UTST","M",48,5
"1379","UTST","F",32,1
"1380","UTST","F",36,1
"1381","UTST","F",48,4
"1382","UTST","M",50,5
"1383","UTST","M",53,6
"1384","UTST","F",41,4
"1385","UTST","M",49,4
"1386","COTE","M",43,1
"1387","COTE","M",38,1
"1388","CNUN","F",39,1
"1389","CNUN","F",45,2
"1390","CNUN","F",49,3
"1391","UTST","M",48,4
"1392","UTST","M",46,3
"1393","UTST","F",48,5
"1394","CNUN","F",31,4
"1395","CNUN","F",34,2
"1396","CNTI","F",86,18
"1397","UTST","F",47,3
"1398","UTST","F",45,3
"1399","PHMO","F",46,5
"1400","UTST","M",48,3
"1401","UTST","F",47,3
"1402","CNUN","F",55,3
"1403","CNTE","F",86,17
"1404","SCUN","F",69,14
"1405","CNIN","F",56,4
"1406","CNUN","F",65,6
"1407","HOMA","M",55,3
"1408","CNTI","F",84,20
"1409","CNUN","F",55,3
"1410","COTE","M",33,1
"1411","UTST","M",34,1
"1412","UTST","F",33,2
"1413","UTST","F",31,1
"1414","UTST","M",36,1
"1415","CNUN","F",56,3
"1416","CNIN","F",27,1
"1417","UTST","M",38,2
"1418","UTST","M",52,4
"1419","UTST","F",34,1
"1420","UTST","M",28,1
"1421","UTST","F",34,1
"1422","UTST","F",29,1
"1423","UTST","F",36,2
"1424","UTST","M",35,1
"1425","UTST","M",36,2
"1426","UTST","M",37,2
"1427","UTST","F",35,2
"1428","CNIN","F",60,4
"1429","UTST","M",42,3
"1430","UTST","M",29,1
"1431","UTST","F",50,1
"1432","UTST","F",44,3
"1433","UTST","F",46,4
"1434","UTST","M",51,5
"1435","UTST","M",42,2
"1436","UTST","M",52,5
"1437","UTST","F",42,2
"1438","UTST","M",48,4
"1439","UTST","F",38,2
"1440","UTST","F",38,2
"1441","UTST","M",52,6
"1442","UTST","M",51,5
"1443","UTST","F",33,1
"1444","UTST","F",37,2
"1445","UTST","F",37,2
"1446","UTST","F",44,2
"1447","UTST","M",32,1
"1448","UTST","M",52,5
"1449","UTST","M",50,5
"1450","UTST","F",48,4
"1451","UTST","F",43,4
"1452","UTST","F",45,3
"1453","UTST","F",33,1
"1454","UTST","F",45,3
"1455","UTST","F",42,4
"1456","UTST","F",45,4
"1457","UTST","F",46,4
"1458","UTST","M",52,6
"1459","UTST","M",50,5
"1460","UTST","M",42,3
"1461","UTST","F",40,2
"1462","UTST","F",43,3
"1463","UTST","F",30,1
"1464","UTST","F",46,4
"1465","UTST","M",51,5
"1466","UTST","F",41,2
"1467","CNIN","F",42,1
"1468","CNUN","F",46,2
"1469","CNIN","F",42,1
"1470","CNIN","F",47,1
"1471","UTST","M",52,4
"1472","CNUN","F",42,1
"1473","UTST","M",50,4
"1474","UTST","M",50,4
"1475","UTST","F",45,3
"1476","UTST","F",49,4
"1477","UTST","M",48,4
"1478","CNIN","F",39,1
"1479","UTST","M",53,4
"1480","CNIN","F",40,1
"1481","UTST","M",47,3
"1482","CNIN","F",46,2
"1483","CNIN","F",45,2
"1484","CNIN","F",43,2
"1485","UTST","F",44,3
"1486","UTST","F",40,2
"1487","UTST","F",46,3
"1488","CNUN","F",42,1
"1489","CNUN","F",36,1
"1490","UTST","F",43,2
"1491","PHMO","F",48,5
"1492","CNIN","F",57,3
"1493","UTST","F",49,2
"1494","CNTI","F",83,22
"1495","UTST","F",44,1
"1496","CNIN","F",47,1
"1497","CRCO","F",67,18
"1498","UTST","F",59,7
"1499","CNIN","F",59,2
"1500","CNUN","F",57,4
"1501","CNTI","F",87,20
"1502","CNTE","F",55,5
"1503","CNTI","M",85,19
"1504","UTST","F",43,4
"1505","CNIN","F",51,4
"1506","CNTE","F",77,20
"1507","CNUN","F",62,5
"1508","CNTE","F",86,25
"1509","UTST","M",53,3
"1510","CNUN","F",63,6
"1511","CNTI","F",40,2
"1512","CRCO","F",89,33
"1513","UTST","M",46,3
"1514","UTST","M",44,2
"1515","UTST","F",41,2
"1516","UTST","F",37,1
"1517","UTST","F",38,1
"1518","UTST","F",41,2
"1519","UTST","F",36,1
"1520","UTST","F",40,1
"1521","UTST","M",49,4
"1522","UTST","M",46,3
"1523","UTST","M",45,3
"1524","UTST","M",50,4
"1525","UTST","M",41,3
"1526","UTST","M",48,5
"1527","UTST","F",42,2
"1528","UTST","M",51,5
"1529","UTST","M",47,4
"1530","UTST","M",43,3
"1531","UTST","M",46,3
"1532","UTST","F",49,4
"1533","UTST","M",45,4
"1534","UTST","F",42,3
"1535","UTST","M",45,4
"1536","CNIN","F",38,2
"1537","CNUN","F",39,2
"1538","UTST","M",50,4
"1539","UTST","F",49,3
"1540","UTST","M",46,3
"1541","UTST","M",38,3
"1542","UTST","F",44,3
"1543","UTST","M",51,5
"1544","CNIN","F",53,4
"1545","PHCO","F",49,5
"1546","CNUN","F",58,4
"1547","CNIN","F",51,3
"1548","UTST","M",50,4
"1549","PHMO","F",56,10
"1550","SCUN","M",62,6
"1551","CRCO","F",81,27
"1552","CRCO","F",79,21
"1553","CRCO","F",83,22
"1554","PHMO","F",99,6
"1555","PHCO","F",49,6
"1556","CNIN","F",54,3
"1557","CNIN","M",56,3
"1558","CRCO","F",84,26
"1559","UTST","M",34,1
"1560","CNUN","F",64,7
"1561","UTST","F",49,3
"1562","CNTI","F",87,20
"1563","UTST","F",46,3
"1564","UTST","M",35,1
"1565","UTST","M",48,3
"1566","UTST","M",36,1
"1567","UTST","F",42,3
"1568","UTST","F",48,3
"1569","UTST","M",49,5
"1570","UTST","M",53,5
"1571","UTST","M",51,5
"1572","UTST","F",45,3
"1573","UTST","M",50,3
"1574","UTST","F",45,3
"1575","UTST","F",45,4
"1576","UTST","F",39,2
"1577","UTST","F",42,2
"1578","UTST","M",47,3
"1579","UTST","M",51,5
"1580","UTST","F",37,2
"1581","UTST","F",43,2
"1582","UTST","M",48,5
"1583","UTST","M",49,5
"1584","UTST","M",52,5
"1585","UTST","M",52,5
"1586","UTST","M",55,6
"1587","UTST","F",46,4
"1588","UTST","M",53,6
"1589","UTST","F",46,4
"1590","UTST","F",45,3
"1591","UTST","M",40,2
"1592","UTST","M",48,4
"1593","UTST","F",38,2
"1594","UTST","M",53,4
"1595","UTST","M",55,6
"1596","UTST","F",44,4
"1597","UTST","F",45,4
"1598","UTST","F",47,3
"1599","CNIN","F",42,2
"1600","UTST","F",45,4
"1601","UTST","F",42,3
"1602","UTST","F",46,4
"1603","CNIN","F",48,3
"1604","UTST","F",45,3
"1605","UTST","F",40,3
"1606","UTST","F",43,2
"1607","UTST","M",50,4
"1608","UTST","F",49,3
"1609","HOMA","F",57,6
"1610","CNIN","F",58,4
"1611","PHCO","F",40,3
"1612","CNTI","M",86,21
"1613","CNIN","M",55,5
"1614","CNTI","M",88,23
"1615","CNTI","M",84,23
"1616","PHMO","M",40,3
"1617","CNTI","M",84,23
"1618","CRCO","F",100,38
"1619","CNIN","M",55,3
"1620","UTST","F",40,2
"1621","UTST","M",35,1
"1622","UTST","M",31,1
"1623","UTST","M",40,1
"1624","UTST","M",42,2
"1625","UTST","F",44,1
"1626","CRCO","F",80,27
"1627","CRCO","F",87,35
"1628","UTST","M",47,4
"1629","UTST","F",44,3
"1630","UTST","F",45,3
"1631","UTST","M",38,2
"1632","UTST","F",40,4
"1633","UTST","M",43,5
"1634","UTST","M",40,4
"1635","UTST","M",50,4
"1636","UTST","M",50,6
"1637","UTST","F",37,2
"1638","UTST","F",44,3
"1639","UTST","F",35,3
"1640","CNTI","F",53,5
"1641","UTST","M",37,2
"1642","UTST","F",38,3
"1643","UTST","F",41,3
"1644","UTST","F",38,3
"1645","UTST","M",30,2
"1646","UTST","F",48,3
"1647","UTST","F",42,3
"1648","UTST","M",50,5
"1649","UTST","F",39,3
"1650","UTST","M",28,2
"1651","UTST","M",52,6
"1652","UTST","F",40,3
"1653","UTST","M",45,5
"1654","UTST","M",38,2
"1655","UTST","F",49,5
"1656","UTST","F",42,3
"1657","UTST","F",42,3
"1658","UTST","F",44,3
"1659","UTST","M",43,4
"1660","UTST","F",39,2
"1661","UTST","M",46,4
"1662","UTST","F",39,2
"1663","UTST","F",39,2
"1664","SCUN","F",41,2
"1665","UTST","M",53,5
"1666","UTST","M",50,5
"1667","UTST","F",47,4
"1668","UTST","F",42,2
"1669","UTST","M",36,2
"1670","UTST","M",48,4
"1671","CNIN","F",40,2
"1672","CNIN","F",45,2
"1673","CNIN","M",52,5
"1674","UTST","F",42,4
"1675","UTST","F",43,4
"1676","CNIN","F",34,1
"1677","CNIN","F",41,2
"1678","UTST","F",40,2
"1679","UTST","F",49,3
"1680","CRCO","F",86,30
"1681","UTST","M",50,4
"1682","CNUN","F",50,3
"1683","CNUN","F",51,3
"1684","CRCO","F",91,34
"1685","CNTI","M",78,13
"1686","CRCO","F",93,38
"1687","UTST","F",48,4
"1688","CNIN","F",49,3
"1689","UTST","F",44,3
"1690","UTST","F",50,4
"1691","UTST","F",45,4
"1692","PHCO","F",58,9
"1693","CNUN","F",52,3
"1694","PHCO","F",43,5
"1695","CNUN","F",60,5
"1696","UTST","F",50,3
"1697","UTST","M",32,1
"1698","UTST","M",30,1
"1699","UTST","M",39,2
"1700","UTST","M",36,1
"1701","UTST","F",45,3
"1702","UTST","F",45,3
"1703","CNTI","M",75,11
"1704","CNIN","M",42,2
"1705","UTST","F",34,2
"1706","UTST","F",37,1
"1707","UTST","F",49,5
"1708","UTST","F",44,3
"1709","UTST","F",35,2
"1710","UTST","F",37,1
"1711","UTST","M",43,3
"1712","UTST","M",44,3
"1713","UTST","F",34,1
"1714","UTST","F",45,3
"1715","UTST","M",40,3
"1716","UTST","M",44,4
"1717","UTST","M",50,5
"1718","UTST","F",40,3
"1719","UTST","F",45,3
"1720","UTST","M",51,4
"1721","UTST","F",43,3
"1722","UTST","F",45,3
"1723","UTST","M",45,4
"1724","UTST","M",42,3
"1725","UTST","M",48,5
"1726","UTST","F",49,5
"1727","UTST","M",46,5
"1728","UTST","F",43,2
"1729","UTST","F",39,3
"1730","UTST","F",43,3
"1731","UTST","M",48,5
"1732","UTST","M",55,3
"1733","UTST","M",41,2
"1734","UTST","F",46,2
"1735","UTST","M",42,3
"1736","UTST","M",47,3
"1737","UTST","F",42,3
"1738","UTST","M",41,2
"1739","UTST","M",50,4
"1740","UTST","M",53,5
"1741","UTST","M",49,5
"1742","UTST","F",45,4
"1743","UTST","F",43,3
"1744","UTST","F",40,2
"1745","UTST","F",44,3
"1746","UTST","F",43,3
"1747","UTST","F",39,2
"1748","UTST","F",41,3
"1749","UTST","M",46,4
"1750","UTST","M",46,4
"1751","UTST","F",41,3
"1752","UTST","M",50,5
"1753","CNIN","F",50,4
"1754","UTST","F",48,5
"1755","UTST","F",50,6
"1756","UTST","F",45,4
"1757","UTST","F",43,4
"1758","UTST","F",44,3
"1759","UTST","F",48,5
"1760","CNTI","F",81,19
"1761","CRCO","F",101,42
"1762","UTST","F",44,3
"1763","UTST","F",46,4
"1764","CNIN","M",50,3
"1765","CNIN","F",53,4
"1766","CNIN","M",53,4
"1767","CNTI","F",78,17
"1768","UTST","F",46,4
"1769","CNIN","M",53,4
"1770","CNIN","F",51,3
"1771","PHMO","M",59,11
"1772","UTST","F",49,5
"1773","PHMO","F",61,12
"1774","UTST","M",37,2
"1775","UTST","M",37,2
"1776","UTST","F",35,3
"1777","UTST","M",41,3
"1778","UTST","M",36,2
"1779","UTST","M",40,3
"1780","UTST","F",35,2
"1781","UTST","F",31,2
"1782","CNIN","F",41,2
"1783","CNTI","F",42,3
"1784","UTST","M",40,3
"1785","CNTE","F",84,13
"1786","UTST","M",35,2
"1787","UTST","M",38,2
"1788","UTST","M",35,2
"1789","CNIN","F",39,2
"1790","UTST","F",42,4
"1791","UTST","F",42,4
"1792","UTST","M",42,4
"1793","UTST","M",46,4
"1794","UTST","F",44,2
"1795","UTST","M",51,5
"1796","UTST","M",46,5
"1797","UTST","F",41,3
"1798","UTST","M",50,6
"1799","UTST","F",44,4
"1800","UTST","F",43,3
"1801","UTST","M",46,4
"1802","UTST","M",47,4
"1803","UTST","F",40,2
"1804","UTST","M",41,3
"1805","UTST","M",42,4
"1806","UTST","M",46,5
"1807","UTST","M",52,6
"1808","UTST","M",48,4
"1809","UTST","M",52,3
"1810","UTST","M",50,4
"1811","UTST","F",42,3
"1812","UTST","M",51,4
"1813","UTST","M",49,3
"1814","UTST","M",53,4
"1815","UTST","F",44,2
"1816","UTST","M",48,3
"1817","UTST","M",53,4
"1818","UTST","F",40,3
"1819","UTST","F",45,3
"1820","UTST","F",45,3
"1821","UTST","M",48,4
"1822","UTST","F",47,3
"1823","UTST","F",43,3
"1824","UTST","M",49,5
"1825","UTST","M",49,5
"1826","UTST","F",47,3
"1827","UTST","F",43,2
"1828","UTST","M",50,5
"1829","CRCO","F",92,40
"1830","UTST","M",5,4
"1831","UTST","F",46,4
"1832","UTST","M",48,6
"1833","UTST","F",49,5
"1834","UTST","F",52,4
"1835","UTST","F",47,3
"1836","UTST","F",46,4
"1837","UTST","F",46,4
"1838","PHCO","F",53,11
"1839","PHCO","F",60,15
"1840","UTST","F",47,5
"1841","UTST","F",48,5
"1842","EUOB","F",61,6
"1843","PHCO","F",55,9
"1844","UTST","F",37,2
"1845","UTST","M",40,2
"1846","UTST","M",35,2
"1847","UTST","M",35,2
"1848","UTST","F",37,2
"1849","UTST","M",28,1
"1850","UTST","M",37,2
"1851","UTST","M",32,2
"1852","UTST","M",30,1
"1853","UTST","M",38,1
"1854","UTST","F",31,2
"1855","UTST","M",31,1
"1856","UTST","F",28,1
"1857","UTST","M",33,2
"1858","UTST","F",29,1
"1859","UTST","F",27,1
"1860","UTST","F",30,1
"1861","UTST","F",35,2
"1862","UTST","F",33,2
"1863","UTST","F",35,2
"1864","UTST","M",35,2
"1865","CNUN","F",55,4
"1866","UTST","M",40,3
"1867","PHCO","F",78,27
"1868","UTST","M",36,2
"1869","UTST","F",34,2
"1870","UTST","F",39,2
"1871","UTST","F",34,2
"1872","UTST","M",34,2
"1873","UTST","M",41,2
"1874","UTST","F",33,1
"1875","UTST","F",35,1
"1876","UTST","M",34,1
"1877","UTST","F",31,1
"1878","CNIN","F",55,6
"1879","UTST","F",30,1
"1880","CNUN","F",59,6
"1881","UTST","F",36,2
"1882","UTST","M",41,2
"1883","UTST","M",41,3
"1884","CNTI","F",39,3
"1885","UTST","M",34,2
"1886","UTST","M",42,2
"1887","UTST","M",38,2
"1888","UTST","M",41,2
"1889","SCUN","M",46,6
"1890","UTST","F",40,2
"1891","UTST","M",43,4
"1892","UTST","F",42,4
"1893","UTST","F",45,4
"1894","UTST","F",48,4
"1895","UTST","F",43,3
"1896","UTST","F",43,4
"1897","UTST","F",42,4
"1898","UTST","M",49,5
"1899","UTST","F",45,3
"1900","UTST","F",32,2
"1901","UTST","M",50,6
"1902","UTST","F",42,3
"1903","UTST","M",50,5
"1904","UTST","M",46,5
"1905","UTST","F",43,3
"1906","UTST","F",40,2
"1907","UTST","F",37,2
"1908","UTST","F",46,3
"1909","UTST","F",40,3
"1910","UTST","M",47,4
"1911","UTST","F",37,2
"1912","UTST","F",45,3
"1913","UTST","M",50,6
"1914","UTST","F",41,3
"1915","UTST","F",52,5
"1916","UTST","F",41,3
"1917","UTST","F",42,3
"1918","UTST","F",45,3
"1919","UTST","F",43,4
"1920","UTST","F",49,4
"1921","UTST","F",42,3
"1922","UTST","M",48,5
"1923","UTST","F",44,3
"1924","UTST","F",45,5
"1925","UTST","M",41,3
"1926","UTST","M",46,5
"1927","UTST","M",52,7
"1928","UTST","F",42,3
"1929","UTST","F",33,3
"1930","UTST","F",41,3
"1931","UTST","F",38,3
"1932","UTST","M",48,5
"1933","UTST","F",44,4
"1934","UTST","F",43,3
"1935","UTST","M",35,1
"1936","UTST","F",34,2
"1937","UTST","M",45,4
"1938","UTST","M",49,5
"1939","UTST","F",45,4
"1940","UTST","F",40,2
"1941","UTST","F",45,3
"1942","UTST","M",48,4
"1943","UTST","M",51,4
"1944","UTST","M",46,4
"1945","UTST","F",41,2
"1946","UTST","F",42,2
"1947","UTST","M",50,3
"1948","UTST","M",48,2
"1949","UTST","F",40,2
"1950","UTST","F",32,1
"1951","UTST","F",44,2
"1952","UTST","M",51,4
"1953","CNUN","F",36,1
"1954","UTST","F",47,3
"1955","UTST","F",45,2
"1956","UTST","F",38,2
"1957","UTST","F",47,2
"1958","UTST","M",55,3
"1959","CNIN","F",34,3
"1960","UTST","F",38,3
"1961","UTST","F",45,3
"1962","UTST","F",43,3
"1963","UTST","F",46,4
"1964","CNTE","F",88,21
"1965","CNTE","F",85,20
"1966","UTST","F",46,2
"1967","EUOB","F",61,6
"1968","UTST","F",45,3
"1969","UTST","F",47,3
"1970","UTST","M",53,5
"1971","PHCO","F",52,8
"1972","CNUN","F",56,3
"1973","CNUN","F",53,3
"1974","PHCO","F",68,15
"1975","CNIN","F",58,4
"1976","PHCO","F",56,8
"1977","CNUN","F",54,4
"1978","CNTI","F",81,17
"1979","CRCO","F",102,40
"1980","UTST","F",45,3
"1981","UTST","F",46,3
"1982","UTST","F",47,2
"1983","CNIN","F",55,3
"1984","CNTE","F",74,17
"1985","UTST","F",47,3
"1986","CNTI","M",67,9
